池田樹雷人	Ikeda Tree Raito
裴勇浚	Bae Yongjun
普雷绍夫足球俱乐部	Presov football club
三浦泰年	Miura Tainen
罗伯特 盖茨	Robert Gates
史可法	Scofa
巴哈都爾 沙一世	Bahadur Shah I
神艺文化	divine art culture
華人星光大道	Chinese Million Star
俞正声	Yu Zhengsheng
天與地 無綫電視劇	Sky and Earth TV Shows
生態部	Ministry of Ecology
侦察	reconnaissance
斗六郡	Douliu County
粵華中學	Yuehua Middle School
美國職棒大聯盟勝投王	Major League Baseball wins
林祺泰	Lin Qitai
榕樹	banyan tree
賽雷普利亞	Cyrepulia
乡村音乐	country music
世纪公园 上海	Century Park Shanghai
瓦尔达斯 阿达姆库斯	Vardas Adamkus
趙孟頫	Zhao Mengfu
迪爾艾比球場	Deer Abbey Field
斑鳩町	Ikaruga-machi
科賈 穆斯塔法帕夏	Koja Mustafa Pasha
郭鋒	Guo Feng
功绩奖章	Merit Medal
教宗君士坦丁	Pope Constantine
觀音區	Guanyin District
蘭希 佩洛西	Lancy Pelosi
詹姆斯 巴伯	James Barber
延斯 伯根斯坦	Jens Bergenstein
天龙八部	Eight parts of Tianlong
巴卢韦利体育俱乐部	Balluweli Sports Club
吉迪恩 汤姆林森	Gideon Tomlinson
寒山潛龍	Hanshan Qianlong
民主党 美国	Democrats America
黎笋	Le Duan
paok足球俱乐部	paok football club
君士坦丁三世	Constantine III
鲍里斯 尼古拉耶维奇 葉利欽	Boris Nikolaevich Yeltsin
cw電視網	cw tv network
義大利統一	Italian Unity
长野县旗	Nagano prefectural flag
杭州话	Hangzhou dialect
淄博星期天	Zibo Sunday
马德里竞技俱乐部	Atlético de Madrid
民主行动党妇女组	DAP Women's Group
皮特尔角城	Pointe Pitre
阿兹敏阿里	Azmin Ali
none 漢姆	none ham
比尔 克林顿	Bill Clinton
潘亭儀	Pan Tingyi
南海	South China Sea
巴塞爾足球俱乐部	FC Basel
比利時足球甲級聯賽	Belgian Football League
德川余二麻呂	Tokugawa Yujimaro
钟万学	Zhong Wanxue
中國 年上海世界博覽會	China 2019 Shanghai World Expo
若泽 拉莫斯 奥尔塔	Jose Ramos Horta
卡通頻道	cartoon channel
祖雲杜特	Zuyunduth
猶他 阿茲特克語系	Utah Aztec
布拉班特的阿德里西亚	Adricia of Brabant
瑪麗亞 特麗莎大公夫人 盧森堡	Grand Duchess Maria Theresa Luxembourg
阿克萨群众起义	Aqsa mass uprising
明古魯語	Bengkulu
明尼阿波利斯	Minneapolis
彼得 威廉 波塔	Peter William Porta
篠原弘次郎	Shinohara Hirojiro
米高伊斯 干斯坦天奴	Michaelis Gansantino
塞舌爾克里奧爾語	Seychelles Creole
四川遂宁体育中心	Sichuan Suining Sports Center
埃特尔 弗雷德里希王子 普鲁士	Ettel Prince Friedrich Prussia
北美乔柏	North American Chopper
奧佐奇 馬素治	Orzochi Masouche
裴樂士	Perez
懷俄明州單一國會選區	Wyoming single congressional district
昭慈皇后	Empress Zhaoci
澀谷站	Shibuya Station
托里什联合	Torres United
弗雷德里克 威尔士亲王	Frederick Prince of Wales
阿爾巴尼亞列克	Albanian Lek
黃嘉樂	Huang Jiale
里马若夫	Rimarov
朴世豪	Park Se-ho
設樂町	Shirakucho
none 泰伊森	none Tyson
元首 纳粹德国	head of nazi germany
羅伯特 海萊因	Robert Helein
約翰 奧茲	John Oz
心理学	psychology
安德烈 紀德	Andre Gide
張雪菊	Zhang Xueju
神舟四号	Shenzhou-4
挪威语	Norwegian
贝拉 说唱歌手	bella rapper
托马斯 哈登 丘奇	Thomas Harden Church
里奧布蘭科縣 科羅拉多州	Rio Blanco County Colorado
布里格姆 扬学院	Brigham Young College
崔西亞坦納卡死了 迷失	Tricia Tanaka dead lost
旗津區	Cijin District
伊朗伊斯蘭議會	islamic parliament of iran
朱彤	Zhu Tong
大哈马德体育场	Grand Hamad Stadium
藤谷陽介	Fujiya Yosuke
加利福尼亚州第十二国会选区	California's 12th Congressional District
布拉德 帕斯利	Brad Parsley
投资	invest
木曾岬町	Kiso Cape Town
丁文华	Ding Wenhua
亚历克斯 弗格森	alex ferguson
坂本龙马	Sakamoto Ryoma
環星娛樂	Universal Entertainment
弗朗索瓦 菲永	Francois Fillon
敘利亞行政區劃	Administrative divisions of Syria
克里斯蒂安 武尔夫	Christian Wulff
哈伊尔贝伊	hailbey
切塞纳足球俱乐部	Cesena Football Club
梁志雄	Liang Zhixiong
民主党 日本	Democratic Party Japan
加拿大皇家学会	Royal Society of Canada
中華民國副總統	Vice President of the Republic of China
.edu	.edu
韩芝俊	Han Zhijun
澳洲 歲以下國家足球隊	Australia under-year national football team
魏小东	Wei Xiaodong
比尔 萨福	Bill Sappho
古希腊哲学	ancient greek philosophy
亞歷山大四世 馬其頓	Alexander IV of Macedonia
王胜俊	Wang Shengjun
彭美鳳	Peng Meifeng
劉師培	Liu Shipei
自我中心主義	egocentrism
揭阳市	Jieyang
諾曼底	Normandy
亚非语系	Afro-Asiatic
南非搖滾	south african rock
東部印度 雅利安語	East Indian Aryan
艺术摇滚	art rock
台視周五優質戲劇	TVTV's Friday Quality Drama
沃尔夫冈 泡利	Wolfgang Pauli
一级方程式	Formula one
黃克孫	Huang Kesun
新西兰一级行政区划	Administrative divisions of New Zealand
中华人民共和国中央人民政府	Central People's Government of the People's Republic of China
布拉德 埃文斯	Brad Evans
高閬仙	Gao Langxian
天津航空	Tianjin Airlines
緊湊型轎車	compact car
李宪宰	Lee Heon Jae
溫家恆	Wen Jiaheng
拉脫維亞甲組足球聯賽	Latvian First Football League
族群	ethnic group
冰岛航空	Icelandair
伍尔弗汉普顿流浪足球俱乐部	Wolverhampton Wanderers Football Club
愛德華四世	Edward IV
曼彻斯特城足球俱乐部	Manchester City Football Club
托马斯 坎贝尔	Thomas Campbell
法属海外领地	French overseas territories
萨格勒布大学	University of Zagreb
鼎山长江大桥	Dingshan Yangtze River Bridge
韓國民主黨	Democratic Party of Korea
唐纳德 戴维森	Donald Davidson
巾幗梟雄之義海豪情	Heroine's Righteous Sea Pride
none 年世界盃資格賽亞洲區第二輪	none 2019 World Cup Qualifying Asian Second Round
阿拉维斯体育	Alaves Sports
清邁	Chiang Mai
大江戶線	Oedo Line
sinn féin	sinn féin
崔庸健	Cui Yongjian
霍亨索伦王朝	Hohenzollern Dynasty
尼克 費蘭西	nick francis
马里戈	Marigo
gáspár orbán	gáspár orbán
肯塔基河	Kentucky River
高特貝加	Gottberg
圣玛策林及圣伯多禄堂	St. Marcellin and St. Peter's Church
實業家	industrialist
招宝山	Zhaobaoshan
龜田誠治	Kameda Seiji
罗贝尔二世 法兰西	Robert II of France
沙治奧 艾斯古迪路	Sargio Esgoode Road
新北市政府	New North Municipal Government
阿玛迪奥一世 西班牙	Amadeo I Spain
水野賢一	Mizuno Kenichi
梁仕銘	Liang Shiming
吸血鬼偵探	vampire detective
卡路士 彭拿	calus penner
艾蜜莉 摩提默	Emily Mortimer
沉積岩	sedimentary rock
柬埔寨国民议会	Cambodian National Assembly
張國强 香港演員	Zhang Guoqiang Hong Kong actor
經典蒙古語	Classic Mongolian
尚恩 迪凱特	Sean Decatur
殖民地大臣	Colonial Secretary
朗之萬方程	Langevin equation
阿提哈德航空	Etihad Airways
侯官片	Hou Guan film
奕劻	Yixing
克里米亚国家议会	Crimea National Parliament
左派民粹主義	leftist populism
天主教弗雷斯諾教區	Catholic Diocese of Fresno
維多利亞 勃列日涅娃	Victoria Brezhneva
生活大爆炸 第一季	The Big Bang Theory Season 1
亚历山大 法肯豪森	Alexander Falkenhausen
約翰 沃爾	John Wall
揭秘	reveal
菲利浦 索萊爾	Philip Sorel
大野和成	Ono Kazui
曾生	Zeng Sheng
艾莉西亞 席薇史東	Alicia Silverstone
卡齐米日 希维塔尔斯基	Kazimierz Švitarski
拉斯洛 博尔贝伊	Laszlo Borbei
马来西亚马来人	malaysian malaysian
埃爾温 維茨莱本	Erwin Witzleben
罗伯特 菲乔	Robert Ficcio
臺中縣第四選舉區	Taichung County Fourth Election District
阿讷西	Annecy
唐人街	Chinatown
十九世紀哲學家	nineteenth century philosopher
王偉仁	Wang Weiren
奕訢	Yixin
牡丹江市	Mudanjiang
菲尔内 伏尔泰	Fernet Voltaire
夢幻流行	Dream Pop
塞爾維亞進步黨	Serbian Progressive Party
国立武昌高师	National Wuchang Normal University
伯利兹区	Belize District
普斯卡什球場	Puskas Stadium
刀耕火种	slash and burn
安德烈 普雷舒	Andre Prechou
杜塞尔多夫	Dusseldorf
恩斯特 哈佩尔球场	Ernst Happel Stadium
穆罕默德 安瓦爾 薩達特	Mohammad Anwar Sadat
邓迪	Dundee
維也納快速	Vienna Express
吉列尔莫 莱昂 巴伦西亚	Guillermo Leon Valencia
沃尔夫奖	Wolf Prize
大娄山	Dalou Mountain
印度国旗	Indian flag
蜂鳥音樂	Hummingbird Music
none 史密斯	none smith
金昌福	Kim Chang-bok
彼得 芬奇	Peter Finch
中川昭一	Nakagawa Shoichi
努里 阿布 赛赫民	Nuri Abu Saihmin
石川直宏	Naohiro Ishikawa
量子電動力學	quantum electrodynamics
基督工黨	christian labor party
美國共產黨	Communist Party of America
西欧	Western Europe
史樂山	Slosar
北平府	Beiping Prefecture
文艺复兴	Renaissance
美国联邦第七巡回上诉法院	U.S. Court of Appeals for the Seventh Circuit
斯图伊 格里芬	Stuy Griffin
新加坡外交部长	foreign minister of singapore
泰坦塔	Titan Tower
鄂圖曼帝國大空位期	Ottoman Empire Great Gap
苏加沙达萨体育场	Sokasadasa Stadium
池忠国	Chi Zhongguo
鎌田翔雅	Kamata Shoya
奧斯丁 張伯倫	Austin Chamberlain
辛迪	Cindy
胡建辉	Hu Jianhui
武吉知馬	Bukit Timah
布萊克 格里芬	Blake Griffin
蒂姆 凯恩	Tim Kane
杰伊 博思罗伊德	Jay Bothroyd
乔治 亚历山德罗维奇大公	Archduke George Alexandrovich
魯營球場	Camp Nou Stadium
丹佛	Denver
四川隆发足球俱乐部	Sichuan Longfa Football Club
曹禺	Cao Yu
邦阿西楠語	Pangasinan
契丹文	Khitan
呂國華	Lu Guohua
絕地	Jedi
秋元康	Akimoto Yasushi
中村区	Nakamura District
卡塔琳娜 博拉	Katarina Bora
庫克縣 伊利諾伊州	Cook County, Illinois
德里達	Derrida
大学公园市	University Park
小詹姆士 比克坎	little james beekkan
无条件投降	unconditional surrender
瑞典中央銀行	Riksbank
厄尔诺 弗罗里尼	Erno Frollini
威廉 尤爾特 格萊斯頓	William Ewart Gladstone
卡諾比奧	Canobio
真理坚固	The truth is solid
刘慧	Liu Hui
巴西南部	southern brazil
费尔蒙特 西弗吉尼亚州	Fairmont West Virginia
新罕布什尔大学	University of New Hampshire
黄燕明	Huang Yanming
蒋勤勤	Jiang Qinqin
律政新人王ii	legal newcomer king ii
五龙潭 宁波	Wulongtan Ningbo
圣詹姆士公园	St James' Park
多瑙斯特雷達足球俱樂部	donaustrada football club
荷兰东印度公司	dutch east india company
毛泽東	Mao Zedong
巴拉圭足球甲級聯賽	Paraguay Football League
土耳其大国民议会	Grand National Assembly of Turkey
太平洋群島託管地	Pacific Islands Mandate
曼哈頓計畫	Manhattan Project
普宁市	Puning
浙江各地级市地区生产总值列表	List of GDP of all cities in Zhejiang
森進一	Mori Shinichi
徐正陶	Xu Zhengtao
熊谷弘	Kumagai Hiroshi
巴什基尔语	Bashkir
武豊町	Taketocho
慶貞公主	Princess Qingzhen
挪威克朗	NOK
蘇丹穆罕默德四世體育場	Sultan Mehmed IV Stadium
社会民主党 丹麦	Social Democrats Denmark
朱兆祥 音韻學家	Zhu Zhaoxiang Phonologist
拉斐尔 米利埃 拉克鲁瓦	Raphael Milliere Lacroix
北方集團軍	Army Group North
劉建忻	Liu Jianxin
none 年捷克斯洛伐克憲法	none year Czechoslovakia constitution
迪祖傑	Dizuje
保加利亚列弗	Bulgarian Lev
乔治 罗伯特 卡特	George Robert Carter
鮑勃 麥克唐納	bob macdonald
中華民國大總統	President of the Republic of China
阿尔贝特 萨罗	Albert Salo
美国空军一级司令部列表	List of U.S. Air Force First Commands
吳若希	Wu Ruoxi
弗朗西斯 约瑟夫王子 巴腾堡	prince francis joseph battenberg
السعودية	السعودية
日本國家足球隊	Japan National Football Team
周静帝	Zhou Jingdi
林建华	Lin Jianhua
赞比亚	Zambia
普罗旺斯的里希尔德	Rihild of Provence
臺北市立松山高級商業家事職業學校	Taipei Municipal Songshan Senior Business and Family Vocational School
神秘小屋	Mystery Cabin
日本电视剧	Japanese TV series
陳威全	Chen Weiquan
杰罗姆 弗兰克	Jerome Frank
井川祐輔	Igawa Yusuke
虎耳草	saxifrage
杜明治 奥杜路	Domingy Audur Road
文天祥	Wen Tianxiang
奥利维耶 阿萨亚斯	Olivier Assayas
布依族	Buyi
巴西参议院	brazilian senate
德國第 軍團	German Army
安來市	Anlai
阿南 班雅拉春	Anan Banyarachhun
磁帶合成器	tape synthesizer
姆斯瓦蒂三世	Mswati III
美国战略司令部	U.S. Strategic Command
博多站	Hakata Station
牡蠣	Oyster
憲法統一黨 美國	United States Constitutional Party
徐国良	Xu Guoliang
赵静波	Zhao Jingbo
伊拉克副总统	Vice President of Iraq
莱齐耶三世	Lezier III
大國文化	Great power culture
朝鲜太宗	Joseon Taejong
庞多雷河	Pondore
亨利 洛奇	Henry Lodge
特伦 苏格兰	Troon Scotland
令狐榮達	Linghu Rongda
校園漫畫	campus comics
辛恩 麥馬漢	Sinn McMahon
尼克 布魯德	Nick Bruder
塞巴斯蒂安 皮涅拉	Sebastian Pinera
西伯利亚联邦大学	Siberian Federal University
路易丝 奧爾良公主	louise princess of orleans
行政区政府主席	President of the District Government
rcf巴黎	rcf paris
極限金屬	Extreme Metal
詹姆斯 蘭克福德	James Lankford
金州勇士隊	Golden State Warriors
智利人	Chilean
硬博普樂	hard boppler
切羅基語	Cherokee
前衛金屬	avant-garde metal
協和商工	Concord Commerce and Industry
怪醫黑傑克	Doctor Black Jack
段奎	Duan Kui
鄂伦春族	Oroqen
维尔弗里德 马尔滕斯	Wilfried Martens
岡山市	Okayama City
斯里維加亞足球俱樂部	Srivijaya Football Club
新界鄉議局	Heung Yee Kuk, New Territories
希尔伯特空间	Hilbert space
长白山	Changbai Mountain
桑博人	Sambo
爱的初告白 专辑	first confession of love album
张异宾	Zhang Yibin
荷屬東印度盾	Dutch East Indies Guilder
白金明	Platinum Ming
永野修身	Nagano Slim
克里安拉利	Crian Lali
康威 伯纳斯	Conway Berners
皇家化学学院	Royal College of Chemistry
横相乙儿之地	The Land of Hengxiang Yier
田中信夫	Nobuo Tanaka
古安切guanche语支	Ancient Anche guanche branch
米西莫維奇	Misimovic
馬來族語言	Malay language
法證先鋒ii	Forensic Pioneer II
我为喜剧狂	i'm a comedy freak
芬兰总理列表	List of Prime Ministers of Finland
恩万科沃 卡努	Nwankovo ​​Kanu
克莱孟八世	Clement VIII
阿克托比足球俱樂部	Aktobe Football Club
韦克菲尔德战役	Battle of Wakefield
西北部 越南	Northwest Vietnam
陳明文	Chen Mingwen
倫敦巴士	London bus
藤原宮子	Fujiwara Miyako
乔治 德卢卡	George DeLuca
墨西哥超級盃	Mexican Super Cup
達沙功	Dasakorn
阿伯爾哈桑 巴尼薩德爾	Aber Hassan Bani Sadr
魁北克國民議會	National Assembly of Quebec
创新 工业 科学暨研究部长	Minister of Innovation, Industry, Science and Research
科林 邓洛普	Colin Dunlop
约瑟夫 努伦	Joseph Nuren
小池武久	Takehisa Koike
蘭度	Lando
意大利民主社会党	Italian Democratic Socialist Party
共和国议会 葡萄牙	Assembly of the Republic Portugal
装甲掷弹兵	Panzer Grenadier
綏嬪朴氏	Sui Concubine Park
馬菲 拿殊	Maffei Nashor
巴统	Batumi
塞拉瓦萊	serravalle
瓦蓮京娜 馬特維延科	Valentina Matvienko
高萩洋次郎	Takahagi Yojiro
科图拉	Kotura
柏鲁	Belu
亚洲大学 韩国	Asia University Korea
謝莫納城鋼鐵工人足球俱樂部	shemona city steelworkers football club
宇土市	Uto
利奇菲尔德法学院	Litchfield Law School
投资银行	investment bank
塞图巴尔	Setubal
幸野志有人	Yukino Shi has someone
中马来 波利尼西亚语群	Central Malay Polynesian Group
道琼斯工业平均指数	Dow Jones Industrial Average
意大利統一運動	Italian Unity Movement
和味濃情	and flavor
貝里斯中央銀行	Central Bank of Belize
县级行政区	county-level administrative region
法乌齐 塞卢	Fauzzi Selou
傑夫 賓格曼	Jeff Bingman
哈桑二世 摩洛哥	Hassan II Morocco
海倫 赫倫	Helen Herron
贝斯手	bass player
史迪芬 平克	Stephen Pink
宋高利	Song Gaoli
青銅中期文化時期字母	Alphabet of the Middle Bronze Culture
巴黎地铁	Paris Metro
塞门塔尼卡足球俱乐部	Sementanica Football Club
弗里德里希 艾伯特	Friedrich Albert
米内罗竞技俱乐部	Atlético Mineiro
恩佐 法拉利	Enzo Ferrari
諾克斯維爾	Knoxville
豪伊杜 比豪爾州	Hajdu Bihar
高昌区	Gaochang District
伊莎貝拉 羅塞里尼	Isabella Rossellini
二月革命	February Revolution
海梅娜 潘普洛納	Jaime Pamplona
大卫 贝克汉姆	David Beckham
副部级大学	Vice-Ministerial University
歐塞奇縣 奧克拉荷馬州	Osage County Oklahoma
达马希乌斯	Damasius
努爾蘭 阿不都滿金	Nuerlan Abdu is full of gold
終極系列	Ultimate Series
范理申	Fan Lishen
def jam唱片公司	def jam record label
阿鲁卡斯	Arucas
强相互作用	strong interaction
波士尼亞和黑塞哥維那 歲以下國家足球隊	Bosnia and Herzegovina under-year national football team
高台院	High Terrace
聖保利足球俱樂部	St Pauli Football Club
建國紀念之日	National founding day
瑞安航空	Ryanair
左後衛	left back
蘇格蘭政府	Scottish Government
悉尼足球俱乐部	sydney football club
美国国家海洋和大气管理局	NOAA
none 越南	none vietnam
塞繆爾 阿利托	Samuel Alito
诺贝尔奖得主	Nobel Prize winner
全國人民大會黨	National People's Congress Party
体育中心站 广州	Sports Center Station Guangzhou
波尔多	Bordeaux
维托里奥 阿梅迪奥二世	Vittorio Amedeo II
甲骨文公司	Oracle Corporation
殷都	Yindu
嘉曆	Jia Li
劉倩婷	Liu Qianting
黄晓明	Huang Xiaoming
匈牙利超級盃	Hungarian Super Cup
哈仙達崗	Hacienda Heights
jef联市原 千叶	JEF United Ichihara Chiba
美国国防部	U.S. Department of Defense
泡利不相容原理	Pauli Exclusion Principle
穆罕默德 乌尔德 阿卜杜勒 阿齐兹	Mohammad Ould Abdul Aziz
佤邦	wa state
章順王后	Queen Zhang Shun
東尼 雲斯利	Tony Winsley
阿方索一世 葡萄牙	Alfonso I of Portugal
愛的婦產科	love obstetrics
德川齊	Tokugawa
倚天劍	Eternal Sword
私立惠比壽中學	Private Yebisu Middle School
日本聯賽盃	Japan League Cup
韋永庚	Wei Yonggeng
織田信廣	Oda Nobuhiro
進一步說明	Further explanation
循化撒拉族自治县	Xunhua Salar Autonomous County
阿布奎基 新墨西哥州	Albuquerque, New Mexico
宋双	Song Shuang
宪法广场 雅典	Syntagma Square Athens
none 卡洛斯王子	none prince Carlos
順化市	Hue City
群马县旗	Gunma prefectural flag
黎巴嫩行政区划	Administrative divisions of Lebanon
北投站	Beitou Station
傅恒	Fu Heng
並立制	Parallel system
弗里德里希二世 巴登	Friedrich II Baden
世界摩托车锦标赛	World Motorcycle Championship
中爪哇省	Central Java
原徹	Toru Hara
摩揭陀語	Magadha language
清水町 靜岡縣	Shimizu-cho Shizuoka Prefecture
荷蘭王國章程	Constitution of the Kingdom of the Netherlands
利孝和	Toshiyuki
博爾頓	Bolton
互動娛樂	Interactive entertainment
查理 马特	Charlie Matt
生态社会主义	ecosocialism
伊恩 普利斯	Ian Price
布列塔尼公爵列表	List of Dukes of Brittany
艾希莉 辛普森	Ashley Simpson
巴基斯坦穆斯林聯盟 謝里夫派	Pakistan Muslim League Sharif
砂川誠	Makoto Sunagawa
成人动画	adult animation
小查尔斯 菲利德	little charles felid
袁寶慧	Yuan Baohui
航電設備	Avionics
最终幻想xi	final fantasy xi
田北辰	Tian Beichen
长沙市	Changsha City
艾哈迈德 沙菲克	Ahmed Shafiq
川崎前锋	Kawasaki Frontale
茹阿泽鲁	Juazeiro
守門員 足球	goalkeeper football
另类金属	Alternative Metals
金大中	Kim Dae-jung
特命担当大臣 冲绳及北方对策担当	Special Minister in charge of Okinawa and Northern Countermeasures
國家杜馬	State Duma
松井謙彌	Kenya Matsui
威利 沃爾什 愛爾蘭商人	willie walsh irish businessman
香港崇正總會	Hong Kong Chongzheng Association
none 安东内斯库	none Antonescu
維多利亞公主 薩克森 科堡 薩爾費爾德	princess victorian saxony coburg saalfeld
捷秋希	Tetsuhi
沃尔夫冈 吕特	Wolfgang Rutte
阿卜杜拉 居尔	Abdullah Gul
the generation 兩人的唇	the generation
舊瑞士邦聯	old swiss confederation
塞內加爾國家足球隊	senegal national football team
北部 加来海峡	north calais
彼得罗夫斯基体育场	Petrovsky Stadium
青梅市	Ome
路爾斯 艾拔圖 蘇亞雷斯	Lurs Abato Suarez
保加利亞獨立日	Bulgaria Independence Day
台灣高速鐵路	Taiwan High Speed ​​Rail
洛伊泽 彼得莱	Loise Petley
法国君主列表	List of French monarchs
阿奇瓦 高斯曼	Akiva Goldsman
安庆府	Anqing Prefecture
李海瓚	Lee Hae-chan
国教	State religion
福興里 岡山區	Fookheung-ri Okayama
捷克共和国议会众议院	Chamber of Deputies of the Parliament of the Czech Republic
美迪 尼爾遜	Medie Nelson
馬克 夫利普	Mark Flip
秘魯足球甲級聯賽	Peruvian Football League
加拿大官方反对党领袖	Leader of the Official Opposition of Canada
勒沃庫森足球俱樂部	Leverkusen Football Club
武汉商学院	Wuhan Business School
摩西 卡察夫	Moses Katsav
帕特森 新泽西州	Paterson New Jersey
德国金马克	german gold mark
孝静成皇后	Empress Xiaojingcheng
我的自由年代	my free years
安杰洛 马西米诺球场	Angelo Massimino Stadium
凱文 強納斯	Kevin Jonas
绿河 怀俄明州	green river wyoming
西斯寧緣區政府	Sisningyuan District Government
亚历山大 费奥多罗维奇 克伦斯基	Alexander Fedorovich Kerensky
卡斯珀 怀俄明州	Casper Wyoming
none 英格蘭	none England
蒙古空軍	Mongolian Air Force
苏莱曼 切莱比	Suleiman Celebi
明庆陵	Ming Qing Mausoleum
雷賀	Lei He
圣安德鲁斯大学	University of St Andrews
輕搖滾	light rock
地球戰隊五人組	Earth team five
老挝保护国	Lao protectorate
汉斯 塞克特	Hans Seekert
闪米特语族	Semitic languages
何杲	He Gao
俾路支地區	Balochistan
米尔沃尔足球俱乐部	Millwall Football Club
雷文斯代爾男爵	baron ravensdale
理查二世 英格蘭	Richard II of England
荷兰 万人口以上城市列表	List of cities in the Netherlands with a population of more than 10,000
london唱片公司	london record label
海布	Haibu
祖伊約克	Zoe York
世界路德宗聯合會	World Lutheran Federation
﻿逄志泉	﻿Pang Zhiquan
星際大戰四部曲 曙光乍現	star wars quartet dawn
因德尔 库马尔 古杰拉尔	Inder Kumar Gujral
三角洲 號運載火箭	Delta launch vehicle
伯恩茅斯	Bournemouth
玛丽亚 特蕾西亚	Maria Theresia
拜尔勒沃库森	Bayer Leverkusen
铜星勋章	Bronze Star
文莱金融管理局	Brunei Monetary Authority
城田優	Shirota Yu
唐吉軻德 日本電視劇	Don Quixote Japanese TV series
高橋由佳	Takahashi Yuka
庇护二世	Pius II
蘭陵王	King of Lanling
波兰总理	Prime Minister of Poland
安達斯 連迪	Andas Liendi
内村圭宏	Uchimura Keihiro
總增加值	Gross value added
埃内斯托 桑佩尔 皮萨诺	Ernesto Samper Pisano
堤俊輔	Tsutsusuke Tsutsumi
高旺亞馬原住民郡政府	Kowangama Aboriginal Shire Government
克里斯蒂安 德韦特	Christian DeWitt
林建岳	Lin Jianyue
卜學亮	Bu Xueliang
巴基斯坦西北部战争	northwest pakistan war
高橋彌七郎	Yasachiro Takahashi
极右翼	far right
三岔河口	Sanchahekou
帛琉	Palau
育碧多倫多	Ubisoft Toronto
奧爾汗一世	Orhan I
南荷蘭省	South Holland Province
údarás na gaeltachta	údarás na gaeltachta
克列克語	Kleek
李高宗	Li Gaozong
马库斯 坎贝尔	Marcus Campbell
巴哈杜爾 沙二世	Bahadur Shah II
鼓打貝斯唱片公司	Drums and Bass Records
沃特語	Water
楠梓區	Nanzi District
加斯東 奧爾良公爵	Gaston Duke of Orleans
肯塔基大学	University of Kentucky
馬模ff	Ma Mo ff
大陸凱爾特語支	Continental Celtic
松本和	Matsumoto and
行政局	Administration
里奇 巴克勒	Rich Buckler
阿爾伯特 赫希曼	Albert Hirschman
州立大學系統	State University System
中川幸太郎	Nakagawa Kotaro
威廉 珀金	William Perkin
张会军	Zhang Huijun
齐孝昭帝	Emperor Xiaozhao of Qi
以色列國家男子足球隊	israel national men's soccer team
科瓦利斯 俄勒岡州	Corvallis Oregon
阿拔斯一世 埃及	Abbas I Egypt
俄罗斯二队	Russia's second team
培尼亞 涅托	Peña Nieto
卡尔斯鲁厄	Karlsruhe
雲杉	spruce
剑桥 马萨诸塞州	Cambridge Massachusetts
孝莊文皇后	Empress Xiaozhuangwen
京口区	Jingkou District
孔祥熙	Kong Xiangxi
玛丽安娜 比尔特勒	Marianne Biltler
玻利維亞足球乙級聯賽	Bolivian Football League
班克斯 澳大利亚国会选区	Banksy Australian parliamentary constituency
楚科奇語系	Chukchi language family
英国奥林匹克足球队	British Olympic football team
蒼樹梅	Cangshumei
长江三峡	Three Gorges of the Yangtze River
石井正忠	Masatada Ishii
盧卡斯 軒達施亞	Lucas Hendashya
黃智秀	Hwang Ji Soo
宇文肱	Yuwen Hung
依納爵 羅耀拉	Ignatius Loyola
意大利王后列表	List of Queens of Italy
南次郎	Minamijiro
计算机科学	computer science
决定论	determinism
前橋市	Maebashi City
娜式糖	Na style candy
东平县	Dongping County
多民族	Multi-ethnic
俄亥俄縣 西弗吉尼亞州	Ohio County West Virginia
普拉特县 密苏里州	Platt County Missouri
乔治 寇松 第一代凯德尔斯顿的寇松侯爵	George Curzon, 1st Marquis of Curzon of Kedleston
和硕怀恪公主	Heshuo Princess Huaike
亞足聯五人制足球錦標賽	AFC Futsal Championship
丹尼森大學	Denison University
波兰君主列表	List of Polish monarchs
約普 柯亨	Jop Cohen
塞索托语	Sesotho
博洛尼亞足球俱樂部	bologna football club
彼得罗扎沃茨克	petrozavodsk
日立	Hitachi
顺治帝	Emperor Shunzhi
巴塞爾大學	University of Basel
耶菲利	Yefili
薛蘇亞尼	Chesuyani
維爾吉納	Vergina
揚尼克 韋斯特高	Yannick Westgau
科隆日 貝勒里夫	Colonges Bellerive
奥斯陆	Oslo
谏义里佩西克足球俱乐部	Kediri Pesik Football Club
柏油脚跟	Tar Heel
大伦敦政府	Greater London Government
黃文永	Huang Wenyong
克雷沃联合	crave union
拉哥斯	Lagos
霍华德 沃洛维兹	Howard Worowitz
遗传学	genetics
罗兰 巴特	Roland Barthes
赫耳墨斯 罗德里格斯 丰塞卡	Hermes Rodriguez Fonseca
邗江区	Hanjiang District
巴勒斯坦立法委员会	Palestinian Legislative Council
双线铁路	double track railway
魯德亞德 吉卜林	Rudyard Kipling
赫伯特 马尔库塞	Herbert Marcuse
坎伯兰河	cumberland river
拉里 埃里森	Larry Ellison
聲名大噪	fame
巴拉圭獨立日	Paraguay Independence Day
路德维希四世 黑森大公	Ludwig IV Archduke of Hesse
福岡市	Fukuoka City
帕特里斯 埃夫拉	Patrice Evra
賀華夫	Howard
藤原道長	Mayor Fujiwara
歐洲直升機公司as 美洲豹	Eurocopter as Jaguar
安德罗特岛	Androt Island
大卫 库塔 dj	david coulthard dj
赫頓 阿普	Hutton Apple
馬來西亞交通部長	Minister of Transport of Malaysia
一党优势制	one-party dominance
sääksmäki	sääksmäki
