ロートン チルズ	Lawton Chills
デビッド プラット	David Pratt
ジェファーソン郡 ジョージア州	Jefferson County Georgia
バスク人のディアスポラ	Basque diaspora
ベレ 音楽	beret music
エレーナ クスタロワ	Elena Kustalova
滋賀県第	Shiga Pref.
全英シングルチャート	UK Singles Chart
島根県立松江南高等学校	Shimane Prefectural Matsue Minami High School
サセックス郡 デラウェア州	Sussex County Delaware
ゼン ユー ルック アット ミー	Then You Look At Me
親米	pro-American
スカジット郡 ワシントン州	Skagit County Washington
モリス郡 カンザス州	Morris County Kansas
ロブ アーミテージ	Rob Armitage
ティチーノ州	Ticino
久邇宮邦彦王	Prince Kuninomiya Kunihiko
稲葉稔 政治家	Minoru Inaba Politician
ジョーゼフ ウィリアム ノーランド	Joseph William Noland
シミュレーションゲーム	simulation game
位相幾何学	topology
マトラ	Matra
vf bシュトゥットガルト	vf b stuttgart
カラジョルジェヴィチ家	Karadjorjevic family
茶阿局	Tea office
永野修身	Osamu Nagano
アビ	Abbi
ブランデンブルク州	Brandenburg
南ローデシア	Southern Rhodesia
クラーク郡 カンザス州	Clark County Kansas
広東語	Cantonese
南京町 神戸	Nankinmachi Kobe
マーク ランス	mark lance
カルロス ミゲル ディアス	Carlos Miguel Diaz
中田一三	Ichizo Nakata
マーキュリー レッドストーン	Mercury Redstone
クック郡 ジョージア州	cook county georgia
ジェームズ バロウズ エドワーズ	James Burroughs Edwards
ワールド ワールド ワールド	world world world
ルーカス オイル スタジアム	Lucas Oil Stadium
孫楽	Sun Le
ユーロポップ	euro pop
フェルナンド マセド シルバ	Fernando Macedo Silva
レオン君主一覧	Leon monarch list
マルガレータ ドゥダ	Margareta Duda
福岡県第	Fukuoka Pref.
チャールトン郡 ジョージア州	Charlton County Georgia
共和党全国大会	Republican National Convention
アナトリー キナフ	Anatoly Kinaf
ホリス ニューハンプシャー州	Hollis New Hampshire
ヴィッテルスバッハ家	Wittelsbach family
フランク ブラック	frank black
アスタナ	Astana
クリストファー ヒッチェンズ	Christopher Hitchens
レッスルマニア	wrestlemania
アン ハサウェイ シェイクスピア	Anne Hathaway Shakespeare
カーディフ シティ スタジアム	Cardiff City Stadium
スティーヴ ハウ ギタリスト	steve howe guitarist
セントクリストファー ネイビスの首相	Prime Minister of Saint Kitts and Nevis
フィリップ シドニー 代レスター伯	Philip Sidney Earl of Leicester
キャロル ベラミー	Carol Bellamy
パウロス ギリシャ王	paulos king of greece
イツハク ベンツビ	Yitzhak Benzbi
高久進	Susumu Takahisa
エスタディオ ホセ ソリージャ	Estadio Jose Zorilla
ペネロペ マグネット	penelope magnet
宮澤喜一	Kiichi Miyazawa
アル ガラファ	Al Gharafa
リッキ ロニー	Rikki Ronnie
ファニャーノ アルト	Fagnano Alto
北部同盟 アフガニスタン	northern alliance afghanistan
ホセ マヌエル フェルナンデス レジェス	Jose Manuel Fernandez Reyes
ハプスブルク家	House of Habsburg
ベネット ジョンストン	Bennett Johnston
タイタン	titan
ウラジーミル レオンテヴィッチ コマロフ	Vladimir Leontevich Komarov
ルイ シャルル ドルレアン ヌムール公	Louis Charles d'Orléans Duke of Nemours
マレーシアカップ	malaysia cup
くじゃく座	Pavo
メンシェヴィキ	Menshevik
李泰植	Lee Tae-sik
公用語	Official terminology
宗教左派	religious left
アンドレ フィリップ	André Philippe
スペンサー デイヴィス グループ	Spencer Davis Group
グリーン郡 ノースカロライナ州	Green County North Carolina
モードック郡 カリフォルニア州	modoc county california
スーパーリーグ フォーミュラ	superleague formula
ポートジェファーソン ニューヨーク州	port jefferson new york
アン アームストロング	Anne Armstrong
プール メリット勲章	Pool Merit Medal
制度的革命党	Institutional Revolutionary Party
エドマンド アンドロス	Edmund Andros
アリスタ レコード	Arista Records
トーマス シェクター	Thomas Schecter
クレート	crate
白ロシア ソビエト社会主義共和国	Byelorussian Soviet Socialist Republic
イタリア陸軍	italian army
ルイス ロブレス	Luis Robles
谷中霊園	Yanaka Cemetery
ムード歌謡	mood song
南オセチア	South Ossetia
インド ヨーロッパ語族	Indo-European
サイマル放送	Simul broadcast
水沢市	Mizusawa City
ロベルト バルトチャク	Robert Balticzak
オットー ハーン	Otto Hahn
長崎駅	Nagasaki Station
セイリーン郡 カンザス州	Saline County Kansas
テクニカルデスメタル	technical death metal
ロベルト トラソーラス	Roberto Trasaurus
フィラデルフィア フリーダム	Philadelphia Freedom
グライムズ郡 テキサス州	Grimes County Texas
スノーボード	snow board
エタンプ	Etampe
モンテネグロ公国	Principality of Montenegro
ゼンデイヤ	Zendaya
ジャン カルヴァン	Jean Calvin
マムカ ゴルゴゼ	Mamuka Golgoze
ジュニオ ブレイン トラスト	Junio ​​Brain Trust
吉田寿光	Hisamitsu Yoshida
直轄市	Directly controlled municipality
ヘナト ソアレス オリヴェイラ アウグスト	Genat Soares Oliveira Augusto
フランシス ロンバウツ	Frances Rombouts
ドジャー スタジアム	Dodger Stadium
コンスタンディノス ミツォタキス	Constantinos Mitsotakis
.vc	.vc
ロシアの国章	Coat of arms of Russia
サイモン フィリップス	Simon Phillips
ジョージ スティグラー	George Stigler
キャロライン郡 メリーランド州	caroline county maryland
ディスカヴァリー 競走馬	discovery racehorse
東京高等裁判所	Tokyo High Court
アメリア エザリントン	Amelia Etherington
黒江哲郎	Tetsuro Kuroe
タバレ バスケス	Tabare Vasquez
グエン シュアン タイン	Nguyen Xuan Thanh
セニーゼ	senise
ピケンズ郡 ジョージア州	pickens county georgia
抒情詩	lyric poem
ツェーリンゲン家	house of thalingen
ジョン ロスティル	John Rostil
ブルーノ モタ ミランダ	Bruno Mota Miranda
フランクフォート ケンタッキー州	Frankfort Kentucky
ノチェーラ スペリオーレ	Nocera Superiore
ティトン郡 アイダホ州	Teton County Idaho
ロイド ダニエルズ	Lloyd Daniels
ヤニ リーマタイネン	Jani Liematainen
パック イン ビデオ	pack in video
ウォーレン郡 ニューヨーク州	Warren County New York
ダッドリー シェルトン セーナーナーヤカ	Dudley Shelton Senanayaka
skスラヴィア プラハ	sk slavia prague
栗毛	chestnut hair
ヒジャーズ王国	kingdom of hijaz
アブドッラフマーン ファーイズ	Abdul Rahman Faiz
.bz	.bz
ルイス フォン アン	Louis von Ahn
スター ウォーズ登場組織一覧	List of organizations appearing in Star Wars
チャールズ ワトソン ウェントワース 代ロッキンガム侯	Charles Watson Wentworth 1st Marquess of Rockingham
ウィリアム リード 政治家	william reed politician
スライ ファミリー ストーン	sly family stone
ブラゴエヴグラト	Blagoevgrad
土屋アンナ	Anna Tsuchiya
明日へ架ける橋	bridge to tomorrow
孫文	Sun Yat-sen
アラー アル マラーフィー	Alaa Al Malafi
クリエイティブ コモンズ	creative commons
ゲーム機	game machine
ブルー ボーカルグループ	blue vocal group
ヤイロチョウ	Black-eared Lobster
神谷英樹	Hideki Kamiya
ビル ウィッティントン	Bill Whittington
全北現代モータース	Jeonbuk Hyundai Motors
アトリ イタリア	Atli Italy
ウィリアム トルスデイル	William Trusdale
松岡洋右	Yousuke Matsuoka
マルクス主義	Marxism
フェラル クルージュ	Feral Cluj
カザフスタンの国章	Coat of arms of Kazakhstan
金炯敏	Kim Hyung-min
ペンドルトン郡 ウェストバージニア州	pendleton county west virginia
ロサンゼルス クリッパーズ	los angeles clippers
ラッセル アレン	Russell Allen
tffスュペル クパ	tff super cupa
ヌーノ ベッテンコート	Nuno Bettencourt
山根武亮	Takesuke Yamane
海南語	Hainanese
コルグ oasys	korg oasys
ピート パラダ	pete parada
カポゼーレ	Caposele
エアーズ 音楽出版会社	Ayers Music Publishing Company
ペドロ アルカラ	Pedro Alcala
ナーセル マスウード	Nasser Masood
チュワン リークパイ	chuwan leek pie
アッチソン郡 ミズーリ州	Atchison County Missouri
駱惠寧	Luo Weining
none ステイト	none state
ジョゼフ チェンバレン	Joseph Chamberlain
丞相	prime minister
ワールプール バンド	whirlpool band
スティーブン ミッチェル	Stephen Mitchell
橋本裕志	Yuji Hashimoto
アントニオ ロドリゲス マルティネス	Antonio Rodriguez Martinez
顔面横動脈	transverse facial artery
ニジンスキー 競走馬	nijinsky racehorse
クワイエット ライオット	Quiet Riot
ラトビア語	Latvian
オーストラリア首都特別地域首相	Prime Minister of the Australian Capital Territory
サバウディア	Sabaudia
東京地下鉄	Tokyo subway
トニー ハジャー	Tony Hajar
チェシャー郡 ニューハンプシャー州	Cheshire County New Hampshire
ポルトフェッラーイオ	Portoferraio
スニップ	Snip
シリー諸島	Isles of Scilly
ロードン ブリッジス	Rawdon Bridges
ホル ウルティア	Hol Urrutia
ゲンツ アールパード	Gents Arpad
アーデルハイト ツー シャウムブルク リッペ	Adelheid to Schaumburg Lippe
天皇陵	Imperial Mausoleum
トーマス ハーディ	Thomas Hardy
ラップ	wrap
森茂喜	Shigeki Mori
ソレート	Solate
ジュゼッペ ペッラ	Giuseppe Pella
オーストリアグランプリ	Austrian Grand Prix
マイケルソン モーリーの実験	The Michelson-Morley experiment
坂部剛	Go Sakabe
馬場保雄	Yasuo Baba
水月会	Suigetsukai
マフムト	mahmut
フランソワ ピエール ギヨーム ギゾー	Francois Pierre Guillaume Guizot
シュロップシャー	Shropshire
ハーピーの息子たち	sons of the harpy
ルーカス フレーデ	lucas frede
オーストリア系アメリカ人	austrian american
ミケル ラサ ゴイコエチェア	Mikel Rasa Goikoe Chair
ファイル flag california svg	File flag california svg
天禄	Tenroku
バーミンガム大学	University of Birmingham
トミーニョ	tominho
フランクリン ピアース	franklin pierce
武蔵陵墓地	Musashi Imperial Cemetery
別府温泉	Beppu hot spring
クブラト サクスコブルクゴツキ	Kubrat Saxkoburg Gotsuki
ジョニー マティス	Johnny Mathis
印旛県	Inba Prefecture
中島知久平	Chikuhei Nakajima
エドムンド フェルプス	Edmund Phelps
西銘恒三郎	Kozaburo Nishime
トレイシー チャップマン アルバム	tracy chapman album
リン郡 カンザス州	Lynn County Kansas
エドワード クラーク 政治家	edward clark politician
田村岳斗	Taketo Tamura
エミリー オスメント	Emily Osment
湖南省	Hunan
セス シノヴィッチ	Seth Sinovich
品川区	Shinagawa Ward
ウッドラフ郡 アーカンソー州	Woodruff County Arkansas
ガールズバンド	girls band
アトレティコ マドリードb	atletico madrid b
超越論哲学	transcendental philosophy
静岡浅間神社	Shizuoka Sengen Shrine
マルコス ギリェルメ	Marcos Guilherme
アドリアン ロペス ロドリゲス	Adrian Lopez Rodriguez
工藤公康	Kimiyasu Kudo
none 空軍 アメリカ軍	none air force united states military
中島正武	Masatake Nakajima
島田市	Shimada City
鹿児島県	Kagoshima prefecture
セオドア フリーリングハイゼン	Theodore Frelinghuisen
月曜ドラマランド	monday drama land
グリニッジ標準時	Greenwich Mean Time
リム トンハイ	Lim Tong Hai
ロビン シック	Robin Chic
バプテスト教会	baptist church
ウォッシュバーン郡 ウィスコンシン州	Washburn County Wisconsin
新神秘主義	neo-mysticism
劉永清	Liu Yongqing
ルイ ジュール トロシュ	Louis Jules Troche
アナクシマンドロス	Anaximander
麗蘭	Liran
シンクレア ルイス	Sinclair Lewis
議会制	parliamentary system
イングランド王国	Kingdom of England
傅歓	welcome
サン ボニファーチョ	San Bonifacio
イタリア自由党	italian liberal party
監査役	Auditor
廣澤金次郎	Kinjiro Hirosawa
トルーマン ニューベリ	Truman Newbery
はっぴいえんど	Happy End
保安	security
嘉陵江	Jialing River
キャメル バンド	camel band
ロリー ケネディ	Rory Kennedy
アイトール トルナバカ フェルナンデス	Aitor Tornavaca Fernandez
ルーマニアの首相	romanian prime minister
警視総監	Superintendent General
ソニンケ語	Soninke
タリア シャイア	Talia Shire
サミット郡 コロラド州	Summit County Colorado
コフィー郡 カンザス州	Coffey County Kansas
lcdサウンドシステム	lcd sound system
小西紀行	Konishi Journey
ウィリアム デイトン	William Dayton
ユーロ紙幣	euro banknotes
支出乗数	spending multiplier
アメリカ合衆国退役軍人長官	United States Secretary of Veterans Affairs
ドゥアラ	Douala
日本サッカー協会	Japan Football Association
ファイル sumida kuyakusho jpg	File sumida kuyakusho jpg
フリードリヒ ヴィルヘルム医学学校	Friedrich Wilhelm Medical School
アルベローナ	Alberona
チャールズ フェルプス タフト	Charles Phelps Taft
高宗 朝鮮王	Gojong King of Joseon
中村祥朗	Yoshiro Nakamura
ガブリエウ ボシリア	Gabriel Bosilia
ペドロ サンチェス	Pedro Sanchez
住民の呼称	Name of residents
ヴィシャーノ	Vishano
ルイ エヌパン	Louis Hennepin
バルサムモミ	balsam fir
松平頼之	Yoriyuki Matsudaira
カール ヒューイット	carl hewitt
アン イギリス女王	Queen Anne of England
黄色	yellow
fkパルティザニ ティラナ	fk partizani tirana
アイランド郡 ワシントン州	island county washington state
パウリーネ フォン ヴュルテンベルク	Pauline von Württemberg
テーン ファン ズウェーデン	Tane van Zweden
京都駅	Kyoto Station
スルターン アル メンハーリー	sultan al menhari
リチャード テリック	Richard Terrick
ジェイムズ ピケット	James Pickett
全権委任法	Plenipotentiary Act
臼井日出男	Hideo Usui
現象学	Phenomenology
スティール アジンfc	Steel Ajin fc
悲しきフェルナンド	sad fernando
モンテイアージ	montiage
カナー郡 ウェストバージニア州	Kanawha County West Virginia
モンテサーノ スッラ マルチェッラーナ	Montesano Sulla Marcellana
民主中道連合	democratic centrist coalition
マイク ビューデンホルツァー	Mike Budenholzer
福士蒼汰	Fushiao
ヴァージル チャップマン	virgil chapman
チェルシー マサチューセッツ州	chelsea massachusetts
田中義剛	Yoshitake Tanaka
オーストラリア国立大学	Australian National University
瀬戸春樹	Haruki Seto
ウォレン オースティン	Warren Austin
バリー グドロー	Barry Goudreau
アントニオ デラクルス	Antonio Delacruz
礒田由和	Yoshikazu Isoda
オリバー エルスワース	Oliver Ellsworth
サン ペドロ スーラ	San Pedro Sula
アルマンド ゲブーザ	Armando Guebuza
チェンジング オブ ガード	changing of guard
国勢調査指定地域	Census Designated Area
マディソン郡 テネシー州	Madison County Tennessee
ロシネイ アドルフォ	Rossiney Adolfo
承徳県	Chengde County
ストローブマツ	strobe pine
幽都府	Yutofu
アンドレア カラッチョーロ	Andrea Caracciolo
トマス ガウアー 準男爵	Thomas Gower Baronet
財務政務次官	Undersecretary of Finance
ハマド ビン イーサ アール ハリーファ	Hamad bin Isa Al Khalifa
自由連想法	free association
ゴドルフィン	Godolphin
csスダン アルデンヌ	cs sedan ardennes
シークレッツ トニー ブラクストンのアルバム	secrets tony braxton album
ブリュメールのクーデター	Brumaire coup
ケーン郡 ユタ州	Kane County Utah
ギジェルモ パドレス エリーアス	Guillermo Padres Elias
奈良県	Nara Prefecture
ウォーレン ヘースティングズ	Warren Hastings
閻良区	Yanliang District
ヨンショーピング県	Jönköping county
サンジャシント郡 テキサス州	San Jacinto County Texas
エディ フィッシャー	eddie fisher
フィオレンツオーラ ダルダ	fiorenzuola darda
チェット カルヴァー	Chet Culver
リー アトウォーター	Lee Atwater
伊勢田雅也	Masaya Iseda
カウント ベイシー	Count Basie
宮ヶ瀬湖	Lake Miyagase
ディケーター郡 カンザス州	Decatur County Kansas
首都圏電鉄	metropolitan railway
キンナ	Kinna
フランシスコ ペレイラ コスタ ジュニオール	Francisco Pereira Costa Junior
高見広春	Hiroharu Takami
政治学	political science
アースィマ県	Asima Governorate
レミ カベッラ	Remi Cabella
ラクキパール郡 ミネソタ州	Lakkipal County Minnesota
インドネシア時間	Indonesia time
阿澄佳奈	Asumi Kana
高橋伸顕	Nobuaki Takahashi
コールズ郡 イリノイ州	Coles County Illinois
コフィー アナン	Kofi Annan
朝鮮半島	Korean Peninsula
久世公堯	Kotaka Kuze
ヴァイオリニスト	violinist
新王誕生	Birth of a new king
マイク スミス ギタリスト	mike smith guitarist
スコットランド郡 ミズーリ州	Scotland County Missouri
マロウシュ シェフチョビッチ	Maroush Shevchovic
ニュー トニー ウィリアムス ライフタイム	New Tony Williams Lifetime
相浦紀道	Norimichi Aiura
南部町 山梨県	Nanbu Town Yamanashi Prefecture
プレスティッジ レコード	Prestige Records
セント ギガ	cent giga
ソラノ郡 カリフォルニア州	Solano County California
ロダー アンタル	Roder Antal
イテリメン族	Itelmen tribe
ジュシレイ シウヴァ	Jushirei Silva
フィリップ トンプソン ジュニア	Philip Thompson Jr.
森下哲夫	Tetsuo Morishita
神のみぞ知るセカイ	The World God Only Knows
エリック ドゥルム	Eric Durm
アリー アブドッラー サーレハ	Ali Abdullah Saleh
オッローリ	Orrori
パブロ アルバレス メネンデス	Pablo Alvarez Menendez
チヴィダーレ デル フリウーリ	Cividale del Friuli
ヘンリー ラヴァリング	Henry Lovering
ハミルトン郡 オハイオ州	Hamilton County Ohio
トーントン	Taunton
ウェイン郡 アイオワ州	Wayne County Iowa
モハメド アブドゥラ	Mohammed Abdullah
ケント ミュージック レポート	kent music report
チェロキー郡 テキサス州	Cherokee County Texas
無頼派	reckless faction
スピリドン トリクピス	Spiridon Trikoupis
日本テレビネットワーク協議会	Nippon Television Network Council
ムハンマド ヌール	Muhammad Noor
ワバシャ郡 ミネソタ州	Wabasha County Minnesota
賀屋興宣	Konobu Kaya
サン ナッザーロ	San Nazzaro
プレストン レスリー	preston leslie
トニー ヤンシュケ	Tony Janschke
プレンティス郡 ミシシッピ州	Prentice County Mississippi
内閣総理大臣秘書官	Secretary to the Prime Minister
ボノ	Bono
礼服	formal dress
吉原宏太	Kota Yoshihara
.ph	.ph
労働党 オランダ	Labor Party Netherlands
ヤマハミュージックコミュニケーションズ	Yamaha Music Communications
厳家淦	Genjia
続柄	relationship
ケント郡 デラウェア州	Kent County Delaware
テイズウェル郡 バージニア州	Tazewell County Virginia
岡田翔平	Shohei Okada
サラーム ファイヤード	salaam fire yard
ジョン マイアング	John Myang
エチオピア人民革命民主戦線	Ethiopian People's Revolutionary Democratic Front
ギブス	Gibbs
金俊洙	Kim Joon-soo
トゥバ語	Tuvan
行動科学	behavioral science
フィル ハワード	Phil Howard
アルギルダス シェメタ	Algirdas Shemeta
バーデン ヴュルテンベルク州	Baden-Wurttemberg
ジャック マリタン	Jack Maritan
ウォルサム マサチューセッツ州	Waltham Massachusetts
鳩山由紀夫内閣	Cabinet of Yukio Hatoyama
和宮親子内親王	Imperial Princess Kazunomiya
中国プロバスケットボールリーグ	chinese professional basketball league
厚生労働委員会	Health, Labor and Welfare Committee
サンタ アナ エル サルバドル	Santa Ana El Salvador
アテネ オリンピックスタジアム	Athens Olympic Stadium
ヘンリー ペティ フィッツモーリス 代ランズダウン侯爵	Henry Petty Fitzmaurice 1st Marquess of Lansdowne
ペティス郡 ミズーリ州	Pettis County Missouri
記述集合論	descriptive set theory
ファイナルファンタジーii	final fantasy ii
マサチューセッツ州副知事	Lieutenant Governor of Massachusetts
ユアレイ郡 コロラド州	Ouray County Colorado
ホセ マリア ビダル	Jose Maria Vidal
ヴォイシズ ミュージック アンド エンターテイメント	Voices Music and Entertainment
ヨッヘン リント	Jochen Rindt
アークティックターン	arctic turn
エウヘニオ イスナルド	Eugenio Isnardo
楠田英世	Hideyo Kusuda
民主革命党 メキシコ	Democratic Revolutionary Party Mexico
デイビッドフード	david hood
フェデリコ メルキオッリ	Federico Melchiorri
ティン ホイッスル	tin whistle
小林伸二	Shinji Kobayashi
大村卓一	Takuichi Ohmura
ジャスティン ペカレック	Justin Pekarek
大和市	Yamato City
オペル	opel
クパ リギー	Kupa Riggy
小城市	Ogi City
セオドア ライマン ボストン市長	Theodore Lyman Mayor of Boston
アンティグア バーブーダ国王	King of Antigua and Barbuda
ケインズ経済学	keynesian economics
.fr	.fr
ホンジュラスの国章	Honduras coat of arms
チャールズ デヴンズ	Charles Devens
ミケル リコ	Mikel Rico
程月磊	schedule moon
ロビー ウィリアムズ	Robbie Williams
ウェイン クラマー	Wayne Kramer
ウィリアム ヴィクレー	William Vickley
菊田真紀子	Makiko Kikuta
セレッソ大阪スポーツクラブ	Cerezo Osaka Sports Club
西宮市	Nishinomiya City
ラッキー ラヴ アルバム	lucky love album
ブライスビル アーカンソー州	Bryceville Arkansas
ヴァイパー バンド	viper band
スターダスト 競走馬	stardust racehorse
讀賣テレビ放送	Yomiuri Television Broadcast
ガロ フォークグループ	gallo folk group
ジェイコブ マクガヴォック ディキンソン	Jacob McGavock Dickinson
トグス テムル	Togs Temur
邱盛炯	Qiu Shenghyeon
アメリカ南方軍	US Southern Command
山内町	Yamauchi Town
ロスコ ゲー	rothko game
上総広常	Hirotsune Kazusa
アメリカ合衆国上院情報特別委員会	United States Senate Intelligence Committee
ユニコイ郡 テネシー州	Unicoy County Tennessee
テストパイロット	test pilot
エルドラド郡 カリフォルニア州	eldorado county california
ワシリー レオンチェフ	Vasily Leontyev
ダン郡 ウィスコンシン州	Dunn County Wisconsin
レレウ サッカー選手	lelew soccer player
ウォリス シンプソン	wallis simpson
恋のナイト フィーバー	Koi no Night Fever
トラフィック バンド	traffic band
アメリカ合衆国大統領首席補佐官	Chief of Staff to the President of the United States
バーバラ フーザル ポリ	Barbara Fusal Poly
ウノ	uno
コントラバス	contrabass
カバー	cover
サヴァンナ市長	Mayor of Savannah
阿閇皇子	Prince Akin
栃内曽次郎	Tochiuchi Sojiro
緒方貞子	Sadako Ogata
ビコール語	Bicol
ブリテン諸島	British Isles
ヤアクーブ アル ホーサニー	Yaqub Al Hosani
ラテンアメリカ	latin america
none 分類学	none Taxonomy
米領サモア知事	Governor of American Samoa
アトミック キトゥン	Atomic Kitten
堂本光一	Koichi Domoto
花とゆめコミックス	Hana to Yume Comics
.mg	.mg
アンタナス スニエチクス	Antanus sniechicus
イケル ムニアイン	Iker Muniain
野田内閣	Noda Cabinet
メイン州選出のアメリカ合衆国上院議員	United States Senator from Maine
ゲームボーイカラー	gameboy color
ウィリアム グラハム サムナー	William Graham Sumner
カイツブリ	Grebe
ジッツェリーア	gizzeria
毛嘉康	Mao Jiakang
モルビアン県	Morbihan
パウロ フレイレ	Paulo Freire
シメオン サクスコブルクゴツキ	Simeon Saxkoburg Gotsuki
カントリー	country
ベイペグ	bay peg
ジョージ ボール	george ball
キコ カシージャ	Kiko Casilla
スペクター 楽器メーカー	spector musical instrument maker
アラン オソリオ コスタ シウヴァ	Alan Osorio Costa Silva
マティアス ニコル	Matthias Nicole
ブリティッシュ エアウェイズ	british airways
ヴェロドローム ボルドー	Velodrome Bordeaux
ジョーン ロビンソン	Joan Robinson
faコミュニティ シールド	fa community shield
モード アンゲリカ ベーン	mode angelica vane
リスボン	Lisbon
マッドハニー	Mad Honey
モッラ サンクティス	Morra Sanctis
フォーク郡 サウスダコタ州	Fork County South Dakota
レスター シティfc	leicester city fc
ラファエロ サンティ	Raphael Santi
ロバータ フラック	Roberta Flack
本橋卓巳	Takumi Motohashi
ネマニャ スピッチ	Nemanja Spitch
thores柴本	Thores Shibamoto
セミノール郡 フロリダ州	Seminole County Florida
ジャン ヴァール	Jean Val
ウラジミール フェドロフ	Vladimir Fedorov
none 年王政廃止に関するイタリアの国民投票	Italian referendum on the abolition of the monarchy in none
ピアニスト	pianist
ロビン ベッカー	Robin Becker
ga文庫	ga library
ホプキントン ロードアイランド州	Hopkinton Rhode Island
複素解析	complex analysis
マティアス ギンター	Matthias Ginter
アレクサンダー ショルツ	Alexander Scholz
カルロス ペーニャ	Carlos Peña
グッドラック ジョナサン	good luck jonathan
ダーク ノヴィツキー	Dirk Nowitzki
ユーセフ ラマダーン	youssef ramadan
文化人類学	Cultural anthropology
イエス イット イズ	yes it is
暁星中学校 高等学校	Hyosung Junior High School High School
ドラッグ シティ	drag city
小野泰輔	Taisuke Ono
ヴィクトリアパーク 競走馬	victoria park racehorse
内閣府特命担当大臣 行政刷新担当	Cabinet Office Minister of State for Administrative Reform
クロアチア語	Croatian
佐々木栄一郎	Eiichiro Sasaki
周通 サッカー選手	Zhou Tong football player
ドルビーラボラトリーズ	dolby laboratories
カム バック トゥ ミー	come back to me
mr バッド ガイ	mr bad guy
ディーン ラスク	Dean Rusk
メイン州知事	Governor of Maine
タウンシップ ニュージャージー州	township new jersey
スポーツ漫画	sports cartoons
古川元久	Motohisa Furukawa
ケイジャン 音楽	cajun music
マハヴィシュヌ オーケストラ	Mahavishnu Orchestra
ブルータル デスメタル	brutal death metal
アルメニア インデペンデンスカップ	Armenia Independence Cup
クール ジャズ	cool jazz
カラカス	caracas
高橋義希	Yoshiki Takahashi
鈴木保奈美	Honami Suzuki
ラヴ ミー フォー リーズン	Love me for a reason
ヒューバート ドレイファス	Hubert Dreyfus
メイド イン シェイド	Made in Shade
ガード	guard
最高経営責任者	Chief executive officer
シュタディオン イム ボルシア パルク	Stadion im Borussia Park
週刊少年マガジン	Weekly Shonen Magazine
マリアンス パハルス	Marians Pahalus
none ホワイト ストライプス	none white stripes
田眼皇女	Princess Tagen
パラダイス シティ	Paradise City
ギリシャの大統領	president of greece
ムスタファー アブーシャーグール	mustafar abu shah ghoul
今井翼	Tsubasa Imai
濱田岳	Mt. Hamada
志賀節	Shiga-bushi
高嶋良充	Yoshimitsu Takashima
ロッカバシェラーナ	Rocca Vachellana
エルビン ジョーンズ	Elvin Jones
シェリーフ イクラーミ	Sheriff Ikrami
ベルギー王位継承順位	Order of succession to the Belgian throne
エレナ チャウシェスク	Elena Ceausescu
カーメル アル ムーサ	Carmel Al Musa
マックス ヴェーバー	Max Weber
サミュエル ミッチル	Samuel Mitchell
ビートたけしの禁断の大暴露 超常現象 xファイル	Beat Takeshi's Forbidden Great Exposure Paranormal Phenomena The X-Files
ミラーノ	Mirano
リスナブル レコード	listenable record
キペロ エラーダス 男子サッカー	Kipero Erradus Men's Football
西部州 スリランカ	Western Province Sri Lanka
アントニオ バルツァーノ	Antonio Barzano
アルフォンソ タフト	Alphonso Taft
ラタプラン	rattaplan
唯物史観	historical materialism
ポートモレスビー	Port Moresby
ファンタジー レコード	fantasy record
ペコス郡 テキサス州	pecos county texas
アクションアドベンチャーゲーム	action adventure game
ザック ワイルド	Zakk Wilde
none アーヴル	none havre
コバノミツバツツジ	Rhododendron dilatatum
ヴェロネッラ	Veronella
ネヴァーモア	Nevermore
アドナン アル タリヤニ	Adnan Al Taryani
ラム アルバム	rum album
ボルハ マジョラル モラ	Borja Majoral Mora
ジョージ ブルックス	George Brooks
海上自衛隊	Maritime Self-Defense Force
徳川斉敦	Nariatsu Tokugawa
ポーランド分割	partition of poland
コンヤ	Konya
ワキシー	waxy
海軍大将	admiral
代議院 チェコ	House of Representatives Czech Republic
星野庄三郎	Shozaburo Hoshino
勝山市	Katsuyama City
ヨハネス ガイス	Johannes Geis
科学哲学	philosophy of science
ジェームズ ウルフ	james wolf
ショーン レスター	Sean Lester
平壌国際空港	Pyongyang International Airport
アハマド オタイフ	Ahmad Otaif
ヤン ペーター バルケネンデ	Jan Peter Balkenende
ブルッキンズ キャンベル	brookins campbell
ラーオ語	Lao language
ディッセンバーズ チルドレン	Decembers Children
シュレースヴィヒの公爵一覧	List of dukes of Schleswig
アリク マーシャル	Arik Marshall
デニス クシニッチ	Dennis Kucinich
ロシアン マフィア	Russian mafia
奥田民生	Tamio Okuda
電気化学	Electrochemistry
アトランタ フルトン カウンティ スタジアム	Atlanta Fulton County Stadium
行政院副院長	Executive Yuan Vice President
バールソン郡 テキサス州	Burleson County Texas
菅源太郎	Gentaro Suga
費県	Fei County
ヘンリー フィッツロイ 初代リッチモンド公爵	Henry Fitzroy 1st Duke of Richmond
こぐま座	Ursa Minor
黒の城の死闘	black castle battle
ニューオーリンズ ペリカンズ	new orleans pelicans
東京都立日野高等学校	Tokyo Metropolitan Hino High School
ニック カロ	Nick Caro
ピエトロ ネンニ	Pietro Nenni
ムハンマド アリー ハーン	Muhammad Ali Khan
ブランドン ペンダー	Brandon Pender
オーム 競走馬	ohm racehorse
ガストン郡 ノースカロライナ州	Gaston County North Carolina
チェ ミョンホ	Choi Myung Ho
ジョン ランドルフ クレイ	John Randolph Clay
スネーク	snake
