ロック (音楽)	rock (music)
ヴァルター・シェール	Walter Scheer
バグルス	Buggles
apple a8	apple a8
ビューティフル・ワールド (テイク・ザットのアルバム)	Beautiful World (Take That album)
ロランス・フルニエ・ボードリー	Laurence Fournier Baudry
ロッキード・マーティン	lockheed martin
ミッコ・ハルキン	Mikko Halkin
欧州自由同盟	european free alliance
アル・ディ・メオラ	Al di Meola
ジョン・ネルソン (司法長官)	John Nelson (Attorney General)
ユーリ・ラリオノフ	Yuri Larionov
サミュエル・アームストロング	Samuel Armstrong
カメレオン座	chameleon constellation
ロヴァーシュ文字	Rovash character
ヒポクリシー	hippocrisy
タッチ・マイ・ボディ	touch my body
サン・レコード	sun records
メイコン郡 (アラバマ州)	Macon County, Alabama
flower (l'arc〜en〜cielの曲)	flower (l'arc~en~ciel song)
ソユーズtma-3	soyuz tma-3
インキュバス (バンド)	incubus (band)
ドリームモーニング娘。	Dream Morning Musume.
メギツネ	Megitsune
デニス・マクドノー	Dennis McDonough
ヴァニラ・ファッジ	vanilla fudge
がか座	Cancer
フランコ・フラッティーニ	Franco Frattini
デューイ郡 (サウスダコタ州)	Dewey County, South Dakota
サムソン (バンド)	samson (band)
菅義偉	Yoshihide Suga
キャロル郡 (ミズーリ州)	Carroll County, Missouri
ダニエル・スミス (測量士)	Daniel Smith (surveyor)
ドーソン郡 (テキサス州)	Dawson County (Texas)
シャーロット郡 (バージニア州)	Charlotte County, Virginia
チキンフット	chicken foot
ハート・エレキ	Heart Electric
タチアナ・ボロソジャル	Tatyana Volosozhar
エジプト王国	Kingdom of Egypt
クラーク郡 (ウィスコンシン州)	Clark County, Wisconsin
ドッジー	Dodgey
平沼赳夫	Takeo Hiranuma
松下年宏	Toshihiro Matsushita
クリッテンデン郡 (アーカンソー州)	Crittenden County, Arkansas
ウィンザー郡 (バーモント州)	Windsor County, Vermont
アニマルズ	animals
ペティス郡 (ミズーリ州)	Pettis County, Missouri
クレイ郡 (ミズーリ州)	Clay County, Missouri
ジャム (マイケル・ジャクソンの曲)	Jam (Michael Jackson song)
ミドルセックス郡 (マサチューセッツ州)	Middlesex County (Massachusetts)
ヴェストファーレンシュタディオン	westfalenstadion
ロチェスター (ニューヨーク州)	Rochester (New York)
金大中	Kim Dae Jung
キャベル郡 (ウェストバージニア州)	Cavell County, West Virginia
レオニード・クチマ	Leonid Kuchma
スリル・ジョッキー・レコーズ	thrill jockey records
オレグ・クズミン	Oleg Kuzmin
ジョン・マクフィー	John McPhee
ジュノー郡 (ウィスコンシン州)	Juneau County, Wisconsin
ヘルター・スケルター	Helter Skelter
エドワード・キャヴェンディッシュ (第10代デヴォンシャー公爵)	Edward Cavendish, 10th Duke of Devonshire
マーサー郡 (イリノイ州)	Mercer County, Illinois
スティーブンズ郡 (カンザス州)	Stevens County (Kansas)
shine/ride on	shine/ride on
fox engine	fox engine
アリゲイニー郡 (バージニア州)	Allegheny County, Virginia
at&tセンター	at&t center
シンシナティ・レッズ	Cincinnati Reds
池袋駅	Ikebukuro Station
イーストフェリシアナ郡 (ルイジアナ州)	East Feliciana County, Louisiana
スタンディング・オン・ザ・ショルダー・オブ・ジャイアンツ	Standing on the Shoulder of Giants
プラスキ郡 (ミズーリ州)	Pulaski County, Missouri
マーサー郡 (ニュージャージー州)	Mercer County, New Jersey
ヴァイパー (バンド)	viper (band)
ピーター・フランプトン	Peter Frampton
ハリソン郡 (オハイオ州)	Harrison County, Ohio
x x x	x x x
トレント・レズナー	Trent Reznor
アンドレイ・ジダーノフ	Andrei Zhdanov
nintendo64	nintendo64
バートウ郡 (ジョージア州)	Bartow County, Georgia
mr.simple	mr. simple
アリー・ルイエンダイク	Allie Luyendyk
第二次エチオピア戦争	Second Ethiopian War
シーヴス・ライク・アス	Thieves Like Us
hurry xmas	hurry xmas
fcチューリッヒ	fc zurich
冬の雨音/night parade by flow∞home made 家族	Fuyu no Amane/night parade by flow∞home made Family
ウィルソン郡 (カンザス州)	Wilson County, Kansas
my lonely town	my lonely town
レット・ミー・ロール・イット	let me roll it
舛添要一	Yoichi Masuzoe
butterfly (倖田來未の曲)	butterfly (Kumi Koda's song)
ウォシュバーン郡 (ウィスコンシン州)	Washburn County, Wisconsin
イェンス・ストルテンベルグ	Jens Stoltenberg
ボーン・ディス・ウェイ	Born This Way
syu (ギタリスト)	syu (guitarist)
karyu	Karyu
エドワード・ステティニアス	Edward Stettinius
袁世凱	Yuan Shikai
フォロー・ザ・リーパー	follow the reaper
クリス・ウェバー	Chris Webber
アンドレイ・マルコフ	Andrei Markov
シドニー・ハーバート (初代ハーバート・オブ・リー男爵)	Sidney Herbert, 1st Baron Herbert of Lee
ヴェンスタ	Vensta
ワボンシー郡 (カンザス州)	Wabonsea County, Kansas
スタイル・カウンシル	style council
ブラッド・オン・ザ・ダンス・フロア (曲)	Blood on the Dance Floor (song)
極東連邦管区	Far Eastern Federal District
ウッド郡 (ウィスコンシン州)	Wood County, Wisconsin
babymetal×キバオブアキバ	babymetal x Kiba of Akiba
ジェネレーションx (バンド)	generation x (band)
宮本賢二	Kenji Miyamoto
マリリン・クエール	marilyn quayle
アフロジャック	afrojack
バッキンガム郡 (バージニア州)	Buckingham County, Virginia
ペドロ・サンタナ・ロペス	Pedro Santana Lopez
エイメット郡 (ミシシッピ州)	Aimet County, Mississippi
カーター郡 (モンタナ州)	Carter County, Montana
小川良成	Yoshinari Ogawa
東南アジアサッカー選手権	Southeast Asia Football Championship
リチャード・イェーツ (作家)	Richard Yates (Author)
インディアン座	Indian seat
四国	Shikoku
nexus 4/shine	nexus 4/shine
レイク郡 (フロリダ州)	Lake County (Florida)
jls (音楽グループ)	jls (music group)
anytime	anytime
ネイサン・クリフォード	Nathan Clifford
レディ・バード・ジョンソン	lady bird johnson
ファンクラブ (アルバム)	fan club (album)
シャーラダー文字	sharadha characters
ウィーバー郡 (ユタ州)	Weaver County, Utah
ブルネイ	Brunei
アマースト郡 (バージニア州)	Amherst County, Virginia
フェアファックス郡 (バージニア州)	Fairfax County, Virginia
ペロポネソス	Peloponnese
bbc three	bbc three
クリミア半島	Crimea
シーム	seam
ジョゼフ・ユーイング・マクドナルド	Joseph Ewing Macdonald
ロイス・ダ・ファイブ・ナイン	Lois Da Five Nine
xbox live	xbox live
ガリシア自治州議会	Galician Autonomous Regional Assembly
バーバー郡 (ウェストバージニア州)	Barbour County, West Virginia
マディソン郡 (テネシー州)	Madison County, Tennessee
フレデリック・ベンティーン	Frederick Benteen
オーランド・シティsc	orlando city sc
ウィンストン・ボハルデ	Winston Bogarde
マッチ (競走馬)	match (racehorse)
リッチー郡 (ウェストバージニア州)	Ritchie County (West Virginia)
ボーイズiiメン	boys ii men
ティト・ジャクソン	Tito Jackson
金永南	Kim Young Nam
トゥールーズfc	toulouse fc
潮州語	Teochew
jubilee (versaillesのアルバム)	jubilee (versailles album)
関東軍	Kwantung Army
追憶のハイウェイ 61	Highway of Remembrance 61
レット・ゼア・ビー・ラヴ	Let There Be Love
森雪之丞	Yukinojo Mori
アクセル・ルディ・ペル	Axel Rudy Pell
クラーク郡 (オハイオ州)	Clark County, Ohio
アル・ジャジーラ・ムハンマド・ビン・ザーイド・スタジアム	Al Jazeera Muhammad bin Zayed Stadium
トリグブ・リー	Trigbu Lee
レット・イット・ビー (曲)	Let It Be (song)
バーティ郡 (ノースカロライナ州)	Bertie County, North Carolina
kanon (ゲーム)	kanon (game)
マット・マーシャンズ	Matt Martians
ミッチ・ミッチェル	Mitch Mitchell
カンピ・サレンティーナ	Campi Salentina
ハウテン州	Gauteng
loveppears	lovepears
フィリピン語	Filipino
ヘイウッド郡 (ノースカロライナ州)	Heywood County, North Carolina
アメリカ合衆国教育長官	United States Secretary of Education
フュエルド・バイ・ラーメン	Fueled by Ramen
2005年日本国際博覧会	2005 Japan World Exposition
heaven's drive	heaven's drive
ロバート・マートン	Robert Merton
メーガン・ウィング	Megan Wing
トラヴィス郡 (テキサス州)	Travis County (Texas)
デイヴィッド・スコット	David Scott
アーン・ダンカン	Earn Duncan
東北新幹線	Tohoku Shinkansen
クリストファー・グリーナップ	Christopher Greenup
エドガール・フォール	edgar fall
音楽ガッタス	music guttas
レオン郡 (テキサス州)	Leon County (Texas)
第44次長期滞在	44th long stay
マルク・ルッテ	Mark Rutte
コロンビア郡 (ウィスコンシン州)	Columbia County, Wisconsin
アイ・アム…サーシャ・フィアース	I Am…Sasha Fierce
マディソン郡 (ノースカロライナ州)	Madison County, North Carolina
エミリア・ロマーニャ語	Emilia-Romagna
民主運動 (フランス)	Democratic Movement (France)
ジェイムズ・セシル (初代ソールズベリー侯爵)	James Cecil, 1st Marquess of Salisbury
アット・ザ・ドライヴイン	At the Drive-In
グラーツ大学	University of Graz
オントナゴン郡 (ミシガン州)	Ontonagon County, Michigan
ツォンガ語	Tsonga
マイク・ジョハンズ	Mike Johans
ビュート郡 (カリフォルニア州)	Butte County, California
アイリス・マードック	Iris Murdoch
アイルランド自由国	Irish Free State
カリフォルニア大学サンディエゴ校	University of California, San Diego
両シチリア王国	Kingdom of the Two Sicilies
マリア・テレジア	Maria Theresa
第13次長期滞在	13th long-term stay
松山市	Matsuyama City
bcプレイス・スタジアム	bc place stadium
never ever	never ever
ブーン郡 (イリノイ州)	Boone County, Illinois
ジェフ・ルーミス	Jeff Loomis
the 101'ers	the 101'ers
frostbite (ゲームエンジン)	frostbite (game engine)
スロベニアの首相	prime minister of slovenia
アスレティック・ビルバオ	Athletic Bilbao
代議院 (チェコ)	House of Representatives (Czech Republic)
はくちょう座	Cygnus
アルビレックス新潟シンガポール	Albirex Niigata Singapore
石野卓球	table tennis ishino
ウィリアム・ブラッドフォード (1755-1795)	William Bradford (1755-1795)
ニューヘイブン郡 (コネチカット州)	New Haven County, Connecticut
ルイス郡 (ウェストバージニア州)	Lewis County, West Virginia
金致佑	Kim Ji Woo
スティーヴン・スティルス	Stephen Stills
ダイフェン	Daifen
高橋愛	Ai Takahashi
いとしのレイラ (アルバム)	I Love Layla (Album)
プルヴァhnl	Purvahnl
チベット諸語	Tibetan languages
フェアフィールド郡 (コネチカット州)	Fairfield County (Connecticut)
セルゲイ・ソビャーニン	Sergei Sobyanin
＃5	#Five
チジック・レコード	Chisik Records
ウェイン郡 (ミシガン州)	Wayne County, Michigan
ジャン・ボードリヤール	Jean Baudrillard
ウズベキスタン・カップ	Uzbekistan Cup
イーサ・ムスタファ	Ether Mustafa
マルファンクション	Malfunction
カナダ首相	Prime Minister of Canada
クレイボーン郡 (ミシシッピ州)	Claiborne County (Mississippi)
アンドリュス・クビリュス	Andrews Kubilus
スーザン・コリンズ	Susan Collins
アンディ・デリス	Andy Delice
チャイクル・リゼスポル	Caykur Rizespor
crispy park	crispy park
ササフラ	Sasafra
バーナード・フィッツアラン＝ハワード (第16代ノーフォーク公)	Bernard FitzAlan-Howard (16th Duke of Norfolk)
石川直樹 (サッカー選手)	Naoki Ishikawa (soccer player)
ユナイテッド・ローンチ・アライアンス	united launch alliance
山岸智	Satoshi Yamagishi
プリシピテイション	precision
ソユーズ36号	Soyuz 36
ザ・ビートルズ・アンソロジー3	The Beatles Anthology 3
ワールドアパート	world apartment
城島光力	Kijima Koryoku
韓昇洙	Han Seung-soo
欧州委員会委員長	President of the European Commission
マンディンカ語	Mandinka
ダンシング・クイーン	dancing queen
ダフト・パンク	daft punk
ブラックモアズ・ナイト	Blackmore's Night
セイントバラード	saint ballad
スティーブ・クリフォード	Steve Clifford
ピーター・コスグローブ	peter cosgrove
ギアリー郡 (カンザス州)	Geary County, Kansas
コリンスの包囲戦	Siege of Corinth
アボイルズ郡 (ルイジアナ州)	Avoils County, Louisiana
進撃の巨人	Attack on Titan
エリオ・カストロネベス	Helio Castroneves
レッド・ツェッペリン ii	led zeppelin ii
マックス・ローチ	Max Roach
ジェファーソン郡 (モンタナ州)	Jefferson County, Montana
ジェレミー・ハント (政治家)	Jeremy Hunt (politician)
ヤコブス・ヘンリクス・ファント・ホッフ	Jacobus Henriks van't Hoff
エスタディオ・ジョゼ・アルヴァラーデ	Estadio Jose Alvarade
エニウェイ・エニハウ・エニホエア	Anyway Anyhow Anywhere
silent jealousy	silent jealousy
スーザン・j・ヘルムズ	Susan J. Helms
genius 2000	genius 2000
グレン・ベントン	Glenn Benton
ベトナム民主共和国	Democratic Republic of Vietnam
ノーサー	norther
ロング・アウェイ	long away
クワミ・ブラウン	kwami ​​brown
arashi no.1〜嵐は嵐を呼ぶ〜	arashi no.1 ~A storm calls a storm~
奇跡 (倖田來未の曲)	Miracle (Kumi Koda's song)
アントリム郡 (ミシガン州)	Antrim County, Michigan
ユムジャーギィン・ツェデンバル	Yumjagin Tsedenbal
レッド (テイラー・スウィフトのアルバム)	Red (Taylor Swift album)
高崎寛之	Hiroyuki Takasaki
mlsカップ	mls cup
マルセロ・ガジャルド	Marcelo Gallardo
ジェファーソンデイビス郡 (ミシシッピ州)	Jefferson Davis County (Mississippi)
ジェシー・リー・リノ	jessie lee reno
エリザベス・モンロー	Elizabeth Monroe
ビーゴ (スペイン)	Vigo (Spain)
バッドフィンガー	bad finger
東郷茂徳	Shigenori Togo
磐田市	Iwata City
レッツ・ダンス (曲)	Let's Dance (song)
トロピカーナ・フィールド	Tropicana Field
ズート・シムズ	zoot sims
グラスノート・レコード	glassnote record
トラピーズ	Trapeze
デレック・ワーウィック	Derek Warwick
clever sleazoid	clever sleazoid
sdn48	sdn48
スンダ語	Sundanese
アンディ・トーマス	Andy Thomas
スクリーム2	scream 2
コマール郡 (テキサス州)	Comal County (Texas)
リンカーン郡 (ルイジアナ州)	Lincoln County (Louisiana)
ポロ・グラウンズ	polo grounds
エルネスト・セディージョ	Ernesto Zedillo
パトリシア・ロバーツ・ハリス	Patricia Roberts Harris
ボアダムス	boredams
ジョゼフィーヌ＝シャルロット・ド・ベルジック	Josephine-Charlotte de Belgic
ジェイムズ・ミード	James Mead
ソユーズtma-01m	soyuz tma-01m
クライヴ・バー	Clive Barr
ヘンリー・ポールソン	Henry Paulson
ジム・オルーク (ミュージシャン)	Jim O'Rourke (musician)
エスプリ・アレーナ	Esprit Arena
電気グルーヴ	electric groove
ジョーダン・ルーデス	Jordan Rudess
ナタリア・ザビアコ	Natalia Zabiako
熊谷スポーツ文化公園陸上競技場	Kumagaya Sports Culture Park Athletic Stadium
エレナ・デル・モンテネグロ	elena del montenegro
キャント・スタンド・ルージング・ユー	Can't Stand Losing You
アティフェテ・ヤヒヤガ	Atifete Yahyaga
ボビー・ジンダル	Bobby Jindal
ビリー・シーン	Billy Sheehan
クイン・スナイダー	Quinn Snyder
リーヴ・ミー・アローン	Leave Me Alone
アンドリュー・リッジリー	Andrew Ridgely
アスコリ・ピッキオfc 1898	Ascoli Picchio fc 1898
プレス (曲)	press (song)
ステイト・オブ・ザ・ネイション	State of the Nation
スーダン	Sudan
シャンティリーの戦い	Battle of Chantilly
ハイラム・ジョンソン	Hiram Johnson
アンディ・フレッチャー	Andy Fletcher
スカーレット・レコード	scarlet record
重光葵	Aoi Shigemitsu
伏見宮貞愛親王	Imperial Prince Fushiminomiya Sadanaru
ブリアル	Burial
台風ジェネレーション -typhoon generation-	Typhoon generation -typhoon generation-
genie	genie
リトルロック (アーカンソー州)	Little Rock (Arkansas)
ピエルルイジ・マルティニ	Pierluigi Martini
長崎市	Nagasaki City
ジョー・ルイス・アリーナ	Joe Louis Arena
サッカーインド代表	india national football team
古ウイグル語	Old Uyghur
カドワラダー・ウォッシュバーン	Cadwallader Washburn
レッド・ツェッペリン i	led zeppelin i
セルゲイ・キリエンコ	Sergey Kiriyenko
ブラック・フラッグ	black flag
ホラーコア	horror core
ピエルルイジ・コッリーナ	Pierluigi Collina
jpn (アルバム)	jpn (album)
force (曲)	force (song)
メリマック (ニューハンプシャー州)	Merrimack (New Hampshire)
ナウ・アイム・ヒア	Now I'm Here
ストップ・クライング・ユア・ハート・アウト	Stop Crying Your Heart Out
サハ語	Sakha
レッツ・ダンス	let's dance
ベイビー・ワン・モア・タイム (アルバム)	Baby One More Time (album)
フォールズ郡 (テキサス州)	Falls County (Texas)
想い出のフォトグラフ	Photograph of memory
アレクサンドル・フレブ	Alexander Hleb
阪田章裕	Akihiro Sakata
一戸兵衛	Ichinohe military guard
ボリビア	Bolivia
ステファニー・グリフィス＝ジョーンズ	Stephanie Griffith-Jones
ミー・ファースト・アンド・ザ・ギミー・ギミーズ	Me First And The Gimme Gimmes
グリーンビル (サウスカロライナ州)	Greenville (South Carolina)
サム・ブラウンバック	Sam Brownback
chara	chara
皇后美智子	Empress Michiko
ホリーズ	Hollies
デイヴィッド・ゲール	David Gale
トミー・ボーリン	Tommy Bolin
オグデン・ミルズ	Ogden Mills
プロコピス・パヴロプロス	Procopis pavlopoulos
ジョシュ・クリングホッファー	Josh Klinghoffer
ジョアン・ジルベルト	Joan Gilberto
フランク・ケロッグ	Frank Kellogg
ジョンソン郡 (ミズーリ州)	Johnson County, Missouri
アキレス・プリースター	Achilles Priester
マーク・マザーズボー	Mark Mothersbaugh
カール・カルステンス	Karl Carstens
井野碩哉	Ino Sekiya
チュワン・リークパイ	Chewang Leekpai
ジョン・フォン・ノイマン	John von Neumann
cdテネリフェ	cd tenerife
オーティス・ブルー	otis blue
コンカニ語	Konkani
ハドーケン!	Hadoken!
php: hypertext preprocessor	php: hypertext preprocessor
明日に架ける橋	bridge over tomorrow
jam project	jam project
マンディンカ族	mandinka tribe
ヘンリー・スタンベリー	Henry Stanberry
ダーラム郡 (ノースカロライナ州)	Durham County, North Carolina
ルイス1世 (ポルトガル王)	Louis I (King of Portugal)
グリーンズビル郡 (バージニア州)	Greensville County, Virginia
ペトル・ネチャス	Petr Nechas
カナダ議会	canadian parliament
ティム・ハーダウェイ	Tim Hardaway
レッドスターfc93	red star fc93
デイ・トリッパー	day tripper
レヴィ・エシュコル	Levi Eshkol
war (アルバム)	war (album)
ハミルトン郡 (フロリダ州)	Hamilton County, Florida
オルガスム (xの曲)	Orgasm (x song)
シルヴァン・アルマン	Sylvain Armand
ヨハネス・ラウ	Johannes Lau
中澤聡太	Souta Nakazawa
ラッセル・アレン	Russell Allen
ゆらめき	shimmer
フェンダー・ジャズマスター	fender jazz master
ナバホ語	Navajo
ポンサルマーギーン・オチルバト	Pongsalmageen Ochirbat
モートン郡 (カンザス州)	Morton County, Kansas
チャールズ・ボールデン	Charles Bolden
ブレット・アンダーソン	Brett Anderson
j・d・サリンジャー	j.d. salinger
ウィルトシャー	Wiltshire
山形県	Yamagata Prefecture
ジーザス・リザード	jesus lizard
ザ・コヴナント	The Covenant
real emotion/1000の言葉	real emotion/1000 words
gossip candy	gossip candy
聖なる剣	holy sword
カシア郡 (アイダホ州)	Cassia County, Idaho
ポーツマス (バージニア州)	Portsmouth (Virginia)
ガールズトーク	girls talk
クリスチャン10世 (デンマーク王)	Christian X (King of Denmark)
イバン・エルゲラ	Ivan Elguera
ハイダル・アル＝アバーディ	Haider al-Abadi
マイク・ソーバー	Mike Sober
方向・社会民主主義	Direction/Social Democracy
徳川家慶	Tokugawa Ieyoshi
テック・ナイン	tech nine
ジョン・スパークマン	John Sparkman
サッカーサンマリノ代表	Soccer San Marino National Team
デイビッド・ディクソン・ポーター	David Dixon Porter
横路孝弘	Takahiro Yokomichi
week end	week end
リスナブル・レコード	listenable record
ルイーザ郡 (バージニア州)	Louisa County, Virginia
ブルガリアプロサッカーリーグ	bulgarian professional football league
南雄太	Yuta Minami
ボヘミアン・ラプソディ	bohemian rhapsody
蒋介石	Chiang Kai-shek
北大西洋条約機構	North Atlantic Treaty Organization
kリーグチャレンジ	k league challenge
ワン (メタリカの曲)	One (Metallica song)
ギャネンドラ・ビール・ビクラム・シャハ	Gyanendra Bir Bikram Shaha
真島昌利	Masatoshi Mashima
ソニック・ザ・ヘッジホッグ2	sonic the hedgehog 2
ワールド・オブ・アワ・オウン (ウエストライフのアルバム)	World of Our Own (Westlife album)
カルフーン郡 (イリノイ州)	Calhoun County, Illinois
限りなき戦い	endless battle
畑田真輝	Maki Hatada
フラッシュのテーマ	flash theme
トーク・トーク	talk talk
ブラディ・サンデー (u2の曲)	Bloody Sunday (u2 song)
ブレリム・ジェマイリ	Blelim Jemaili
シックス・フィート・アンダー (バンド)	Six Feet Under (band)
mfsb	mfsb
ブーツィー・コリンズ	Bootsy Collins
小塚崇彦	Takahiko Kozuka
アニー・レノックス	Annie Lennox
古典ラテン語	classical latin
練馬区	Nerima Ward
クリード (バンド)	creed (band)
メキシコ軍	mexican army
マリーア・ジョゼ・デル・ベルジョ	Maria Jose del Bergio
ヘンリー・クリントン	Henry Clinton
ミラード郡 (ユタ州)	Millard County, Utah
具滋哲	Gu Jie Tetsu
瞳の住人	inhabitant of eyes
シンド語	Sindhi
ネイションワイド・アリーナ	nation wide arena
久保亘	Wataru Kubo
インド国民会議	Indian National Congress
alone in my room	alone in my room
バリー郡 (ミシガン州)	Barry County, Michigan
アストゥリアス州	Asturias
バスク民族主義党	Basque Nationalist Party
so into you	so into you
ユーズ・ユア・イリュージョン ii	Use Your Illusion ii
タイラー・ザ・クリエイター	Tyler the Creator
ジョン・ドイル	John Doyle
トーキング・ブック	talking book
snow flake 〜記憶の固執〜/pulse	snow flake ~persistence of memory~/pulse
バート・バカラック	Burt Bacharach
第1軍 (日本軍)	1st Army (Japanese Army)
シュガー (バンド)	sugar (band)
ジョン・バカン	John Buchan
エドウィン・メリディス	Edwin Meridith
愛のうた (倖田來未の曲)	Love Song (Kumi Koda's song)
ヴェイッカウスリーガ	Veikkausliiga
ペリー郡 (アラバマ州)	Perry County, Alabama
love the island	love the island
ルーシ語	Rusian
ジョージ・スペンサー (第2代スペンサー伯爵)	George Spencer, 2nd Earl Spencer
ヘルシンボリ	Helsingborg
ツァヒアギーン・エルベグドルジ	Tsahiagin Elbegdorj
フォーク郡 (サウスダコタ州)	Fork County, South Dakota
白鷺	Egret
テリー・チャイムズ	terry chimes
fcロストフ	fc rostov
キャロライン・ケネディ	caroline kennedy
ウィリアムソン郡 (テネシー州)	Williamson County, Tennessee
ルイジアナ州立大学	Louisiana State University
フェドール・アンドレーエフ	Fedor Andreev
uefa euro 2016予選・グループb	uefa euro 2016 qualifying group b
妖怪ウォッチ	Yokai Watch
ラマー・オドム	Lamar Odom
ジョージ・オズボーン	George Osborne
欧州保守改革グループ	European Conservative Reform Group
ルイ・ボナパルト	Louis Bonaparte
ビレッジ・バンガードii	Village Vanguard II
fcメス	fc female
イニュエンドウ	Innuendo
フガジ	Fugazi
ロニー・ジェイムス・ディオ	Ronnie James Dio
チノ・モレノ	Chino Moreno
茂庭照幸	Teruyuki Moniwa
マジック・クリスチャン・ミュージック	magic christian music
ギブソン・eds-1275	Gibson eds-1275
仲井戸麗市	Reichi Nakaido
アレクサンデル・ストゥブ	Alexander Stubb
ライジング・フォース	rising force
ジョーボックス	jaw box
ルートン	Luton
ラヴィン・ユー・ベイビー	Lovin' You Baby
chase (l'arc〜en〜cielの曲)	chase (l'arc~en~ciel song)
カール・バラー	Karl Baller
三浦文丈	Bunjo Miura
サーフ ブンガク カマクラ	Surf Bungak Kamakura
ザ・ティアーズ	The Tears
ノックス郡 (イリノイ州)	Knox County, Illinois
風間八宏	Yahiro Kazama
千葉県第4区	4th Ward, Chiba Prefecture
ホルスト・ジンダーマン	Horst Zindermann
トム・ウェイツ	Tom Waits
トニー・タン	Tony Tan
ブルームフィールド (コロラド州)	Bloomfield (Colorado)
トリヴィアム	Trivium
甲府市	Kofu City
松本山雅fc	Matsumoto Yamaga FC
セントローレンス郡 (ニューヨーク州)	St. Lawrence County (New York State)
マイノリティ (曲)	Minority (song)
ザ・スターリン	The Stalin
フランス復古王政	French Restoration
ヴィータウタス・ランズベルギス	Vytautas Landsbergis
berryzマンション9階	berryz mansion 9th floor
ジンジャー・ベイカー	ginger baker
グラハム・ナッシュ	Graham Nash
カジミェシュ4世 (ポーランド王)	Casimir IV (King of Poland)
ファーギー・フレデリクセン	Fergie Frederiksen
レイモン・バール	Raymond Burr
エスタディオ・ネメシオ・カマーチョ	Estadio Nemesio Camacho
ウィズイン・テンプテーション	within temptation
安住淳	Jun Azumi
アイリッシュ・オクトーバー	Irish October
ダビド・ビジャ	David Villa
ブリード・イット・アウト	bleed it out
ウォーレン郡 (オハイオ州)	Warren County, Ohio
マルゲリータ (政党)	Margherita (Political Party)
スマートストライク	smart strike
李克強内閣	Li Keqiang Cabinet
クイーンアンズ郡 (メリーランド州)	Queen Annes County, Maryland
グリーン郡 (アラバマ州)	Greene County, Alabama
杉山元	Hajime Sugiyama
ソユーズ25号	Soyuz 25
モンゴメリー郡 (ノースカロライナ州)	Montgomery County (North Carolina)
アレックス・ジェームス	Alex James
ルーマニア正教会	romanian orthodox church
エマニュエル・ピロ	Emmanuel Pirro
サンク・ゴッド・イッツ・クリスマス	Thank God It's Christmas
尹ボ善	Yoon Bo-sun
fcロコモティフ・モスクワ	fc lokomotiv moscow
伊東輝悦	Teruetsu Ito
ライオネル・ド・ロスチャイルド	Lionel de Rothschild
ロン・ノル	Ron Noll
m-flo	m-flo
シドニー・スーパードーム	sydney superdome
メイド・イン・ヘヴン	Made in Heaven
ケニー・ジョーンズ	Kenny Jones
センチュリーリンク・フィールド	CenturyLink Field
リンブルフ州 (オランダ)	Limburg (Netherlands)
ワート郡 (ウェストバージニア州)	Wirt County, West Virginia
ヴァーヘニンゲン	Wageningen
ウェイク・ミー・アップ・ホウェン・セプテンバー・エンズ	wake me up when september ends
ミケーレ・カニーニ	Michele Canini
オールバニ (ニューヨーク州)	Albany (New York State)
アルバート・ハモンドjr.	Albert Hammond Jr.
マリオ・ソアレス	Mario Soares
ジェット (曲)	jet (song)
マイ・ジェネレーション (アルバム)	My Generation (album)
メフディー・バーザルガーン	Mehdi Bazargan
アテッサ	Atessa
愛媛県	Ehime Prefecture
エリック・シンセキ	Eric Shinseki
dreaming now!	dreaming now!
ニッツァー・エブ	Nitzer Ebb
フーゼスターン州	Khuzestan province
ファンタスティック・マック	fantastic mac
プレゼンス	Presence
evolution (浜崎あゆみの曲)	evolution (song by Ayumi Hamasaki)
ダグ・アルドリッチ	Doug Aldrich
カンファレンス・ナショナル	conference national
チューズデイ・ナイト・ミュージック・クラブ	Tuesday Night Music Club
八田嘉明	Yoshiaki Hatta
チャールズ郡 (メリーランド州)	Charles County, Maryland
ビートルズがやって来るヤァ!ヤァ!ヤァ! (アルバム)	The Beatles are Coming Ya! Ya! Ya! (Album)
リチャード・ライト (音楽家)	Richard Wright (musician)
ウォッチング・ザ・ホイールズ	Watching the Wheels
コブ郡 (ジョージア州)	Cobb County, Georgia
ロイ・カーン	Roy Khan
リトル・リチャード	Little Richard
フランス革命戦争	French Revolutionary War
初期近代英語	Early modern English
古アイルランド語	Old Irish
ビル・デブラシオ	Bill de Blasio
マディソン郡 (ニューヨーク州)	Madison County (New York State)
スコット・ブラウン (政治家)	Scott Brown (politician)
滝実	Minoru Taki
アビゲイル・アダムズ	Abigail Adams
ナチュラル・ウーマン (曲)	Natural Woman (song)
ピジョンヘッド	pigeon head
ヒルプリンス	hill prince
エンリケ・ペーニャ・ニエト	Enrique Peña Nieto
ジャレド・インガソル	Jared Ingersoll
上野駅	Ueno Station
psvアイントホーフェン	psv eindhoven
ロンバルド語	Lombard
フリウリ＝ヴェネツィア・ジュリア州	Friuli-Venezia Giulia
スポルチ・レシフェ	Sport Recife
天河体育中心体育場	Tianhe Sports Center Stadium
ミュージック・フロム・バズ・ラーマンズ・華麗なるギャツビー	music from buzz rahmans the great gatsby
カーディフ・シティ・スタジアム	Cardiff City Stadium
プロジーベン	ProSieben
ニール・ショーン	Neal Sean
山村和也	Kazuya Yamamura
シルヴァーチェアー	silver chair
